query,calls,server
1,23,E1
1,10,E2
1,12,E3
1,11,E4
1,4,E5
2,109,E1
2,97,E2
2,83,E3
2,93,E4
2,78,E5
3,21,E1
3,15,E2
3,17,E3
3,18,E4
3,13,E5
4,56,E1
4,47,E2
4,44,E3
4,57,E4
4,56,E5
5,10,E1
5,2,E2
5,3,E3
5,1,E4
5,6,E5
6,26,E1
6,9,E2
6,17,E3
6,10,E4
6,9,E5
7,201,E1
7,192,E2
7,175,E3
7,161,E4
7,198,E5
8,501,E1
8,128,E2
8,149,E3
8,131,E4
8,121,E5
9,237,E1
9,234,E2
9,246,E3
9,213,E4
9,201,E5
10,55,E1
10,54,E2
10,46,E3
10,59,E4
10,58,E5
11,102,E1
11,111,E2
11,117,E3
11,97,E4
11,117,E5
12,60,E1
12,48,E2
12,66,E3
12,52,E4
12,55,E5
13,280,E1
13,283,E2
13,287,E3
13,294,E4
13,277,E5
14,141,E1
14,64,E2
14,51,E3
14,62,E4
14,77,E5
15,158,E1
15,139,E2
15,144,E3
15,153,E4
15,122,E5
16,17,E1
16,11,E2
16,19,E3
16,14,E4
16,9,E5
17,215,E1
17,88,E2
17,98,E3
17,87,E4
17,98,E5
18,7,E1
18,2,E2
18,2,E3
18,1,E4
18,1,E5
19,17,E1
19,8,E2
19,10,E3
19,4,E4
19,6,E5
20,643,E1
20,464,E2
20,503,E3
20,477,E4
20,480,E5
21,38,E1
21,18,E2
21,20,E3
21,25,E4
21,34,E5
22,126,E1
22,100,E2
22,127,E3
22,112,E4
22,144,E5
23,25,E1
23,23,E2
23,28,E3
23,36,E4
23,23,E5
24,350,E1
24,165,E2
24,165,E3
24,156,E4
24,179,E5
25,294,E1
25,279,E2
25,283,E3
25,303,E4
25,295,E5
26,66,E1
26,55,E2
26,57,E3
26,51,E4
26,52,E5
27,77,E1
27,63,E2
27,67,E3
27,73,E4
27,63,E5
28,12,E1
28,7,E2
28,3,E3
28,9,E4
28,2,E5
29,88,E1
29,76,E2
29,58,E3
29,71,E4
29,87,E5
30,127,E1
30,100,E2
30,110,E3
30,102,E4
30,112,E5
31,278,E1
31,267,E2
31,269,E3
31,267,E4
31,266,E5
32,305,E1
32,321,E2
32,278,E3
32,313,E4
32,309,E5
33,67,E1
33,49,E2
33,63,E3
33,45,E4
33,44,E5
34,15,E1
34,6,E2
34,3,E3
34,7,E4
34,6,E5
35,18,E1
35,10,E2
35,14,E3
35,13,E4
35,24,E5
36,37,E1
36,28,E2
36,20,E3
36,25,E4
36,20,E5
37,47,E1
37,49,E2
37,41,E3
37,56,E4
37,52,E5
38,136,E1
38,80,E2
38,79,E3
38,78,E4
38,79,E5
39,493,E1
39,342,E2
39,361,E3
39,353,E4
39,362,E5
40,28,E1
40,17,E2
40,15,E3
40,18,E4
40,24,E5
41,45,E1
41,22,E2
41,13,E3
41,24,E4
41,24,E5
42,162,E1
42,60,E2
42,72,E3
42,65,E4
42,66,E5
43,1621,E1
43,387,E2
43,408,E3
43,388,E4
43,380,E5
44,324,E1
44,109,E2
44,125,E3
44,117,E4
44,102,E5
45,18,E1
45,12,E2
45,6,E3
45,10,E4
45,8,E5
46,78,E1
46,45,E2
46,45,E3
46,44,E4
46,44,E5
47,1588,E1
47,215,E2
47,231,E3
47,244,E4
47,229,E5
48,195,E1
48,170,E2
48,155,E3
48,168,E4
48,159,E5
49,840,E1
49,853,E2
49,883,E3
49,837,E4
49,822,E5
50,122,E1
50,102,E2
50,96,E3
50,110,E4
50,117,E5
51,98,E1
51,76,E2
51,84,E3
51,86,E4
51,98,E5
52,33,E1
52,32,E2
52,19,E3
52,27,E4
52,22,E5
